id:ID,name,desc,:LABEL
郭靖,郭靖,郭靖 ，是金庸武侠小说《射雕英雄传》中的男主角和《神雕侠侣》中的重要角色，《倚天屠龙记》中也曾引述其相关事迹，他是贯通"射雕三部曲"的关键人物之一。 融合“降龙十八掌”、“九阴真经”和“左右互搏”三大盖世武功为一体，遂翩然翱翔，武林尊为“天下第一侠士”，黑白二道俯首称臣，号令武林群雄，率领群雄守护着南宋襄阳城的前线边境。 第三次华山论剑时获得称号“北侠"新五绝之一。 他生性单纯刚直，重孝义、勤奋、爱国，具备一切金庸笔下最模范的侠义精神。 他用一生来彻底实现了"为国为民"这一"侠之大者"的目标，他巨大的人格力量也感染了他身边的人，包括他的家人及《神雕侠侣》的男主角杨过，无形中带领他们走向正面的人生路、改邪归正的康庄大道。,角色
黄蓉,黄蓉,黄蓉，是《射雕英雄传》的女主角和《神雕侠侣》的重要角色。 《倚天屠龙记》中也曾引述其相关事迹，她是贯通”射雕三部曲“的关键人物。在“射雕三部曲”的前两部中，黄蓉从《射雕英雄传》的青春少女一直写到《神雕侠侣》的中年妇人。黄蓉是金庸着墨最多的女性角色，亦是金庸笔下最具人气，最负盛名的女主角之一。 桃花岛主“东邪” 黄药师与冯蘅的独生女，精通父亲传授的桃花岛武功、五行八卦阵和奇门遁甲之术。 集天地灵气而于一身，艳绝天下、冰雪聪明、玲珑剔透，多才多艺、博古通今，精通琴棋书画、厨艺了得。 与郭靖一生相恋、患难与共，全心全意助旺他，后辅佐夫君保家卫国，竭尽所能。,角色
杨过,杨过,杨过，字改之，名字为郭靖、黄蓉所取，取「有则改之，无则加勉」之意。金庸小说《神雕侠侣》中的男主角，是杨康与穆念慈之子，杨家将的后人，生于江南但祖籍山东省。在书中初期虽不到二十岁，但武功在平辈之中无人可及，之后黄药师与杨过认识后，更说即使是年轻时的黄药师也要三十岁才能达到杨过现今的境界。中期断臂之后屡遇奇缘，武功进步神速。到了后期与小龙女分开十六年后武艺大成，内力刚猛强韧，极为霸道，为金庸小说中武功最绝顶的高手之一。与小龙女分隔十六年间，随伴亦师亦友的神雕，闯荡江湖，行侠仗义，人称「神雕侠」。最后重见小龙女，苦尽甘来，看破红尘，随小龙女归隐古墓。,角色
小龙女,小龙女,小龙女，是金庸小说《神雕侠侣》的女主角，古墓派第三代掌门人，金庸笔下广受读者喜爱的女主角之一。容貌秀美若仙、冰肌玉骨，明艳绝伦、清若姑射仙子，天姿灵秀；武功轻灵飘逸，于婀娜妩媚中击敌制胜。她至真至纯，聪慧通透，心如水晶，外表柔弱内心坚强，宽容豁达中具有包容性。是金庸笔下极具真、善、美的女性。她是杨过的师父，与杨过互生情愫，但因师生恋不容于世，后与杨过义助郭靖，大战金轮法王。与杨过之间四离四合，生死相随，为救杨过性命，纵身跳下断肠崖，在谷底生活十六年。十六年后与杨过义助郭靖、黄蓉守卫襄阳，成为扬名天下的“神雕侠侣”。第三次华山论剑后，与杨过归隐江湖。,角色
黄药师,黄药师,黄药师，外号“东邪”，天下“五绝”之一，是金庸武侠小说《射雕英雄传》 [1]  和《神雕侠侣》 [2]  中的角色。是黄蓉之父，对其妻冯氏（小字阿衡）一往情深。黄药师是金庸笔下“正中带有七分邪，邪中带有三分正”的人物，是“桃花岛”的岛主，亦是桃花岛派武学创始人。“桃花影落飞神剑，碧海潮生按玉箫”是他一生武功的写照，武功造诣非凡，已臻化境，为金庸小说中武功绝顶的高手之一。黄药师上通天文，下通地理，五行八卦、奇门遁甲、琴棋书画，甚至农田水利、经济兵略等亦无一不晓，无一不精。个性离经叛道，狂傲不羁。性情孤僻，行动怪异，身形飘忽，有如鬼魅。黄药师漠视“传统礼教”，然却最敬重忠臣孝子（据黄药师的说法：此乃大节。）个性行事潇洒。,角色
张无忌,张无忌,张无忌，金庸武侠小说《倚天屠龙记》人物角色，中土明教第三十四代教主。武当七侠之一张翠山与天鹰教紫微堂主殷素素之子，明教四大护教法王之一金毛狮王谢逊义子。出生起在冰火岛过着原始生活，踏足中土后即幼失怙恃，中玄冥神掌寒毒命危，后在蝴蝶谷带病习医，义送孤儿至西域，在昆仑仙谷绝处逢生。忍受寒毒煎熬七年，福缘际会，融合九阳神功、乾坤大挪移、太极拳（及太极剑）和圣火令神功四大盖世武功为一体，当世无敌。此外还精研医术和毒术，术绝尘寰。为人仁侠仗义，一生救人无数，常制服敌人而不杀害。实力悬殊，曾一人决战数个至数十个顶尖高手。20岁决战光明顶，孤身大战武当、少林、峨嵋、昆仑、崆峒、华山六大门派高手，一战成名于天下。弱冠之年担任明教教主，使百万教众倾心归附，统一明教。率领明教光明左右使、护教法王、五散人、五行旗及百万教众，救张三丰、救谢逊、闯金刚伏魔圈，号令群雄抵抗元军。张无忌对六大派以德报怨，与明教下属兄弟般的感情，与张三丰师祖孙的孺慕之情、与谢逊的亲情挚爱，展示了各种男子间的情义故事。先后邂逅了周芷若、殷离、小昭、赵敏等红颜，发展出一段段欲断难断的爱情故事。最终，张无忌22岁时把称帝机会让给属下朱元璋，携赵敏退隐江湖。,角色
张三丰,张三丰,张三丰，原名张君宝，在金庸小说《神雕侠侣》与《倚天屠龙记》登场。为人正气凛然，宽和从容，颇有仙风道骨之姿，其是当世无出其右的武学奇才。百岁之时自创太极拳、太极剑，将武当派发扬光大，威名远扬武林江湖豪杰黑白两道无不拜服。门下七位弟子有“武当七侠”之称。,角色
周芷若,周芷若,周芷若，金庸小说《倚天屠龙记》人物角色。峨嵋派弟子、峨嵋派第四代掌门人，出尘如仙，武学天资卓绝，是金庸笔下一个极富传奇色彩的女性角色。周芷若幼时父亲周子旺（修订版、新修版改为汉水船夫之女）遭元兵杀害，遇张三丰相救，与少年张无忌在汉水舟中邂逅，并对张无忌有喂饭之恩，后被送至峨嵋派。成年之后与张无忌重逢互生爱慕并立有婚约，为完师父灭绝师太遗命“光复汉家河山，光大峨嵋”取倚天剑、屠龙刀，后杀害张无忌表妹殷离（实际未死）并嫁祸蒙古朝廷爱慕张无忌的赵敏。成婚之际赵敏以谢逊毛发相胁使得婚礼生变，周芷若遂与张无忌决裂，回到峨嵋专心习武，一心完成师父遗愿光大峨嵋。屠狮大会，张无忌念情相让，周芷若以九阴真经上的武功赢得“武功天下第一”的称号并与张无忌并肩攻打少林金刚伏魔圈，为灭口欲杀害谢逊被杨龙后人黄衫女子所阻，最终与张无忌立下约定飘然洒脱而去。,角色
郭襄,郭襄,郭襄，金庸小说《神雕侠侣》的人物，也出现在《倚天屠龙记》开端。名字出于父母镇守襄阳的信念，双生兄弟是郭破虏。郭襄秀美豪迈，容貌三分像黄蓉，因处事风格亦正亦邪，江湖人称“小东邪” 。郭襄15岁时遇到杨过，杨过送她三枚金针，并为她在丐帮大会中大办生日宴，使她终生难忘。郭襄18岁离家出门游历，一生追寻神雕侠未果。少林派觉远大师圆寂之际，模糊地呓语部分《九阳神功》经文，郭襄默记了部分。襄阳城破时，家人殉亡，她持倚天剑逃生。40岁顿悟出家为尼，终生不嫁。后在四川创立峨眉派，传下弟子有风陵师太、灭绝师太、周芷若等人。,角色
洪七公,洪七公,洪七公，是金庸笔下《射雕英雄传》、 《神雕侠侣》的人物，绰号“北丐”，武功登峰造极，乃“天下五绝”之一。他的正式徒弟只有郭靖和黄蓉二人，不过曾花时间传武功于穆念慈和杨过。洪七公为丐帮帮主，为人正义且机智，生性贪吃，曾经因贪吃误事，自断其右手食指，故也称“九指神丐”，无论黑白两道都十分敬重他。洪七公和蔼正义，具有一切正派人物所应具有的优点，其独门武学为“打狗棒法”及“降龙十八掌”。洪七公一生最大的敌人为“西毒”欧阳锋，曾被其暗算多次，几乎丧命。晚年与欧阳锋于华山比武，后欧阳锋恢复记忆，两人大笑，互相拥抱而逝。,角色
欧阳锋,欧阳锋,欧阳锋，是金庸笔下《射雕英雄传》中的头号反派人物，绰号”西毒“，武功登峰造极，乃“天下五绝”之一，后因逆练郭靖乱改的九阴真经而疯，不过武功更胜从前，于”第二次华山论剑“中先后击败郭靖，黄药师，洪七公三人，被三人公认为”第二次华山论剑“武功天下第一。在《神雕侠侣》中收杨过为儿子，后来与洪七公在华山比武，后欧阳锋恢复记忆，两人大笑，互相拥抱而逝。,角色
杨康,杨康,杨康，又名完颜康，金庸武侠小说《射雕英雄传》中的人物。杨铁心与包惜弱之子，金国六王爷完颜洪烈的养子。杨康聪明机警，外貌俊美、气质卓绝，生母养父对其万般宠溺，自幼在顺境中成长，处处争强好胜，不择手段。因迷恋金朝王室的富贵，在得知身世后仍继续追随仇人完颜洪烈，并欲继其王位。与未婚妻穆念慈因比武招亲结缘，后因欧阳克欺侮其妻，亲手刺死欧阳克，并顺义拜在其叔父欧阳锋门下为徒。桃花岛上以九阴白骨爪害死了江南七怪中的韩宝驹。在铁枪庙中被黄蓉拆穿真相后欲杀之灭口，掌击黄蓉软猬甲上，被江南七怪之南希仁遗留在刺尖上的剧毒刺破手掌，而中毒身亡。身亡后不久，其未婚妻为其产下遗腹子杨过。,角色
梅超风,梅超风,梅超风，原名梅若华，金庸武侠小说《射雕英雄传》中的人物。是东邪黄药师的弟子，武功极高，功力在马钰、丘处机、欧阳克之上，略低于裘千仞。与师兄陈玄风有私情，盗走半部《九阴真经》，背叛师门。因遭师弟陆乘风，飞天蝙蝠柯镇恶兄弟等人追杀远走大漠，与陈玄风合称“黑风双煞”。在和江南七怪的激战中，梅超风被柯镇恶暗算而双目失明。十年后她重出江湖，传授杨康九阴白骨爪，并找江南七怪报仇，后来于牛家村被全真七子这七位道士联合围攻，后被东邪黄药师出手相救。双方酣斗之际，欧阳锋以毕生功力向黄药师施以偷袭，梅超风舍命为恩师挡了欧阳锋一击而死。黄药师在她临死时，重新收她为徒。,角色
射雕英雄传,射雕英雄传,,作品
神雕侠侣,神雕侠侣,,作品
倚天屠龙记,倚天屠龙记,,作品
九阴真经,九阴真经,,武功
降龙十八掌,降龙十八掌,,武功
左右互搏,左右互搏,,武功
兰花拂穴手,兰花拂穴手,,武功
桃华落英掌,桃华落英掌,,武功
玉萧剑法,玉萧剑法,,武功
打狗棒法,打狗棒法,,武功
逍遥游,逍遥游,,武功
黯然销魂掌,黯然销魂掌,,武功
玉女心经,玉女心经,,武功
蛤蟆功,蛤蟆功,,武功
弹指神通,弹指神通,,武功
玄铁剑法,玄铁剑法,,武功
碧波掌法,碧波掌法,,武功
碧海潮生曲,碧海潮生曲,,武功
九阳神功,九阳神功,,武功
乾坤大挪移,乾坤大挪移,,武功
太极拳,太极拳,,武功
圣火令,圣火令,,武功
峨眉剑法,峨眉剑法,,武功
九阴白骨爪,九阴白骨爪,,武功
峨嵋九阳功,峨嵋九阳功,,武功
越女剑法,越女剑法,,武功
全真剑法,全真剑法,,武功
桃花岛,桃花岛,,门派
古墓派,古墓派,,门派
明教,明教,,门派
武当派,武当派,,门派
峨眉派,峨眉派,,门派
丐帮,丐帮,,门派
哲别,哲别,,角色
江南七怪,江南七怪,,角色
觉远,觉远,,角色
灭绝师太,灭绝师太,,角色
丘处机,丘处机,,角色
郭芙,郭芙,,角色
郭破虏,郭破虏,,角色
欧阳克,欧阳克,,角色
郭啸天,郭啸天,,角色
张翠山,张翠山,,角色
杨铁心,杨铁心,,角色
李萍,李萍,,角色
冯蘅,冯蘅,,角色
穆念慈,穆念慈,,角色
殷素素,殷素素,,角色
包惜弱,包惜弱,,角色
冯衡,冯衡,,角色
陈玄风,陈玄风,,角色
